Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,Actual_Churn,Predicted_Churn
12,7,2.19,7,Mobile,Comedy,Europe,On-Time,Basic,10,49,3911,No,2,0,0
8,5,3.99,6,Laptop,Romance,South America,Delayed,Basic,4,23,5143,No,1,1,1
40,8,5.42,9,Smart TV,Action,North America,On-Time,Premium,2,42,6482,Yes,4,0,0
52,8,1.65,7,Smart TV,Sci-fi,Oceania,On-Time,Basic,3,23,2780,Yes,5,0,0
39,8,4.83,10,Smart TV,Comedy,Africa,On-Time,Basic,5,49,7535,Yes,5,0,0
40,9,2.59,7,Smart TV,Comedy,North America,On-Time,Basic,10,30,9392,Yes,5,0,0
58,10,3.04,9,Smart TV,Action,Europe,On-Time,Premium,0,44,9990,Yes,2,0,0
10,10,5.26,9,Mobile,Action,Africa,On-Time,Basic,0,25,7928,Yes,2,0,0
51,8,3.6,9,Mobile,Drama,North America,On-Time,Basic,3,68,1997,No,4,0,0
52,8,5.89,7,Laptop,Action,South America,On-Time,Premium,6,32,1767,Yes,1,0,0
37,10,5.59,10,Tablet,Sci-fi,Africa,Delayed,Premium,2,59,8395,Yes,1,0,0
32,8,3.57,7,Mobile,Action,Africa,On-Time,Standard,2,44,6917,No,5,0,0
48,4,3.86,1,Laptop,Action,South America,On-Time,Basic,3,31,7415,Yes,5,0,0
22,8,4.83,9,Laptop,Romance,Europe,On-Time,Basic,5,29,3569,No,5,0,0
59,7,1.41,8,Tablet,Drama,South America,On-Time,Basic,1,50,7089,No,3,0,0
42,2,4.88,4,Laptop,Drama,Africa,On-Time,Premium,9,60,7891,No,5,0,0
49,10,2.1,7,Laptop,Action,Oceania,On-Time,Premium,5,19,1492,Yes,5,0,0
19,9,3.51,7,Mobile,Action,North America,On-Time,Basic,6,22,9263,Yes,5,0,0
39,10,2.64,8,Smart TV,Drama,South America,Delayed,Standard,4,22,1423,Yes,4,0,0
50,10,4.45,9,Mobile,Romance,South America,On-Time,Standard,9,70,5279,Yes,5,0,0
20,9,2.25,7,Mobile,Romance,North America,On-Time,Basic,3,64,5532,Yes,5,0,0
31,9,5.38,7,Smart TV,Sci-fi,North America,On-Time,Standard,8,61,6088,Yes,5,0,0
26,8,2.89,9,Mobile,Comedy,Africa,On-Time,Basic,0,63,7431,No,4,0,0
19,5,5.07,6,Tablet,Action,Europe,On-Time,Standard,7,46,7726,No,1,1,1
6,10,2.53,7,Mobile,Comedy,South America,On-Time,Premium,4,57,3569,Yes,3,0,0
58,4,2.62,1,Smart TV,Comedy,Europe,On-Time,Standard,4,33,3741,Yes,4,0,0
3,5,4.63,6,Smart TV,Sci-fi,North America,On-Time,Standard,1,28,2312,No,1,1,1
59,8,2.73,7,Smart TV,Drama,South America,On-Time,Premium,0,49,4126,Yes,5,0,0
15,8,4.76,10,Laptop,Action,North America,Delayed,Premium,5,50,3182,No,3,1,1
9,8,3.37,9,Smart TV,Comedy,South America,Delayed,Basic,0,58,7885,No,3,1,1
53,9,3.83,10,Mobile,Comedy,North America,On-Time,Basic,8,42,2641,Yes,2,0,0
52,8,4.32,9,Smart TV,Sci-fi,Asia,On-Time,Standard,8,51,9129,Yes,3,0,0
14,8,1.59,7,Tablet,Drama,Europe,On-Time,Basic,0,57,8798,Yes,4,0,0
51,4,1.69,6,Smart TV,Drama,Europe,Delayed,Premium,9,42,6490,Yes,5,0,0
48,1,3.7,6,Tablet,Drama,South America,On-Time,Premium,7,25,7408,Yes,5,0,0
58,9,4.22,8,Tablet,Sci-fi,Europe,Delayed,Standard,3,28,6460,Yes,4,0,0
2,10,3.57,7,Mobile,Sci-fi,Asia,On-Time,Premium,2,38,7954,Yes,4,0,0
36,4,4.37,2,Smart TV,Romance,North America,Delayed,Standard,3,40,2486,Yes,2,0,0
50,8,2.99,9,Tablet,Sci-fi,South America,On-Time,Basic,1,20,2417,Yes,4,0,0
25,7,5.7,7,Mobile,Romance,South America,On-Time,Standard,1,43,6775,No,2,0,0
8,8,1.59,9,Tablet,Comedy,Europe,Delayed,Basic,3,45,4378,No,3,1,1
2,10,5.68,10,Mobile,Sci-fi,Europe,On-Time,Basic,0,34,7986,Yes,5,0,0
31,10,4.69,10,Smart TV,Comedy,Africa,Delayed,Premium,8,33,4723,No,5,0,0
53,8,2.76,7,Tablet,Action,Africa,On-Time,Standard,7,33,1559,No,5,0,0
11,7,2.22,10,Tablet,Comedy,Asia,Delayed,Premium,4,57,8524,No,5,1,1
34,7,2.94,9,Tablet,Romance,North America,On-Time,Basic,1,63,2914,Yes,5,0,0
31,2,5.42,6,Tablet,Sci-fi,Oceania,Delayed,Premium,6,58,5568,Yes,5,0,0
39,8,2.11,7,Mobile,Action,Europe,On-Time,Standard,2,22,7501,Yes,1,0,0
19,8,5.62,7,Laptop,Comedy,Africa,On-Time,Standard,1,18,5631,Yes,3,0,0
60,8,2.27,9,Tablet,Drama,South America,On-Time,Basic,10,18,5386,No,5,0,0
52,9,4.13,7,Tablet,Drama,Africa,On-Time,Premium,4,28,3845,No,3,0,0
43,9,5.7,8,Tablet,Romance,North America,On-Time,Basic,8,32,5069,No,4,0,0
